row_type,run_id,dataset_tag,driver_id_hash,source_file_hash,line_no,step,action,wait_reason,query_k,query_minutes,returned_count,actionable_after_query,positive_net_count,missed_window_risk,top_candidate_expired_or_unreachable_count,query_minutes_per_positive_candidate,query_reward,preference_deadline_risk,best_order_net,best_order_per_hour,best_take_id_hash,best_take_delta_official_net_estimate,best_reposition_delta_estimate,contributes_continuous_rest,contributes_full_rest_day,contributes_appointment,contributes_market_timing,contributes_endgame_safety,wait_lock_bug,top20_take_hashes,hard_filter_reasons,reposition_value,qwen_compile_calls
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,67,67,take_order,,100,10,100,44,40,52,48,0.25,770.12,52.94,785.12,39.35,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":44,""filter_not_online"":4,""filter_remove_slack_too_short"":8,""severe_negative_net"":3}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,68,68,take_order,,100,10,100,33,31,67,64,0.32,757.01,53.65,772.01,59.42,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":64,""filter_remove_slack_too_short"":3}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,69,69,take_order,,100,10,100,36,30,50,41,0.33,1510.17,54.44,1525.17,99.9,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_finish_after_horizon"":1,""filter_load_window_unreachable"":29,""filter_normalize_failed"":1,""filter_not_online"":12,""filter_remove_slack_too_short"":21,""severe_negative_net"":5}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,70,70,take_order,,100,10,100,30,27,70,68,0.37,831.52,55.23,846.52,60.76,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":68,""filter_remove_slack_too_short"":2,""severe_negative_net"":2}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,71,71,take_order,,100,10,100,37,30,57,41,0.33,904.15,56.22,919.15,38.37,,,,,,,,,,,"{""below_direct_net_threshold"":5,""filter_load_window_unreachable"":35,""filter_not_online"":6,""filter_remove_slack_too_short"":22,""severe_negative_net"":2}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,72,72,take_order,,100,10,100,50,46,46,42,0.22,878.44,56.92,893.44,40.25,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":38,""filter_not_online"":4,""filter_remove_slack_too_short"":8,""severe_negative_net"":3}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,73,73,take_order,,100,10,100,49,46,47,42,0.22,912.14,57.56,927.14,80.1,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":40,""filter_normalize_failed"":2,""filter_not_online"":2,""filter_remove_slack_too_short"":7,""severe_negative_net"":1}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,74,74,take_order,,100,10,100,18,15,72,56,0.67,427.86,58.41,442.86,51.17,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_finish_after_horizon"":1,""filter_load_window_unreachable"":48,""filter_normalize_failed"":1,""filter_not_online"":8,""filter_remove_slack_too_short"":24,""severe_negative_net"":1}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,75,75,take_order,,100,10,100,38,36,50,49,0.28,566.73,58.97,581.73,45.85,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_finish_after_horizon"":3,""filter_load_window_unreachable"":46,""filter_normalize_failed"":6,""filter_not_online"":3,""filter_remove_slack_too_short"":4}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,76,76,take_order,,100,10,100,25,24,53,43,0.42,585.26,59.92,600.26,80.41,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_finish_after_horizon"":6,""filter_load_window_unreachable"":32,""filter_normalize_failed"":5,""filter_not_online"":11,""filter_remove_slack_too_short"":21}",[],7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,77,77,wait,,100,10,100,0,0,71,51,10.0,-15.0,60.54,0.0,0.0,,,,,,,,,,,"{""filter_finish_after_horizon"":8,""filter_load_window_unreachable"":38,""filter_normalize_failed"":8,""filter_not_online"":13,""filter_remove_slack_too_short"":33}",[],7
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,77,77,wait,no_safe_positive_net_cargo,100,10,100,0,0,71,51,10.0,-15.0,60.54,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,78,78,wait,,100,10,100,0,0,73,45,10.0,-15.0,60.59,0.0,0.0,,,,,,,,,,,"{""filter_finish_after_horizon"":7,""filter_load_window_unreachable"":32,""filter_normalize_failed"":7,""filter_not_online"":13,""filter_remove_slack_too_short"":41}",[],7
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,78,78,wait,no_safe_positive_net_cargo,100,10,100,0,0,73,45,10.0,-15.0,60.59,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,79,79,wait,,100,10,100,0,0,71,51,10.0,-15.0,60.65,0.0,0.0,,,,,,,,,,,"{""filter_finish_after_horizon"":3,""filter_load_window_unreachable"":33,""filter_normalize_failed"":8,""filter_not_online"":18,""filter_remove_slack_too_short"":38}",[],7
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,79,79,wait,no_safe_positive_net_cargo,100,10,100,0,0,71,51,10.0,-15.0,60.65,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,80,80,wait,,200,20,200,0,0,136,101,20.0,-30.0,60.71,0.0,0.0,,,,,,,,,,,"{""filter_finish_after_horizon"":2,""filter_load_window_unreachable"":46,""filter_normalize_failed"":7,""filter_not_online"":55,""filter_remove_slack_too_short"":90}",[],7
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,80,80,wait,no_safe_positive_net_cargo,200,20,200,0,0,136,101,20.0,-30.0,60.71,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,81,81,wait,,200,17,167,0,0,102,73,17.0,-25.5,60.78,0.0,0.0,,,,,,,,,,,"{""filter_finish_after_horizon"":2,""filter_load_window_unreachable"":18,""filter_normalize_failed"":8,""filter_not_online"":55,""filter_remove_slack_too_short"":84}",[],7
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,81,81,wait,no_safe_positive_net_cargo,200,17,167,0,0,102,73,17.0,-25.5,60.78,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,82,82,wait,,200,9,85,0,0,58,25,9.0,-13.5,60.83,0.0,0.0,,,,,,,,,,,"{""filter_normalize_failed"":2,""filter_not_online"":25,""filter_remove_slack_too_short"":58}",[],7
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,82,82,wait,no_safe_positive_net_cargo,200,9,85,0,0,58,25,9.0,-13.5,60.83,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,83,83,wait,,200,3,23,0,0,14,8,3.0,-4.5,60.87,0.0,0.0,,,,,,,,,,,"{""filter_normalize_failed"":1,""filter_not_online"":8,""filter_remove_slack_too_short"":14}",[],7
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,0bcc30e5393c,608c29259a8c,83,83,wait,no_safe_positive_net_cargo,200,3,23,0,0,14,8,3.0,-4.5,60.87,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},7
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,1,1,wait,,100,0,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,,,,,,,,,,,{},[],8
wait,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,1,1,wait,no_safe_positive_net_cargo,100,0,0,0,0,0,0,0.0,0.0,1.1,0.0,0.0,,0.0,0.0,False,False,False,True,False,False,,{},{},8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,2,2,take_order,,100,6,51,45,26,6,3,0.23,1205.77,1.31,1214.77,51.73,,,,,,,,,,,"{""below_direct_net_threshold"":8,""filter_load_window_unreachable"":3,""filter_remove_slack_too_short"":3,""severe_negative_net"":11}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,3,3,take_order,,100,10,100,66,63,30,13,0.16,1003.1,2.31,1018.1,77.61,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":9,""filter_not_online"":4,""filter_remove_slack_too_short"":21,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,4,4,take_order,,100,10,100,46,42,53,46,0.24,1010.56,2.98,1025.56,63.18,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":45,""filter_not_online"":1,""filter_remove_slack_too_short"":8,""severe_negative_net"":2}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,5,5,take_order,,100,10,100,33,31,63,37,0.32,843.38,3.76,858.38,99.48,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":33,""filter_not_online"":4,""filter_remove_slack_too_short"":30}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,6,6,take_order,,100,10,100,31,30,61,40,0.33,716.36,4.15,731.36,91.27,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":32,""filter_not_online"":8,""filter_remove_slack_too_short"":29}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,7,7,take_order,,100,10,100,52,51,43,43,0.2,942.12,4.61,957.12,85.99,,,,,,,,,,,"{""filter_load_window_unreachable"":38,""filter_not_online"":5,""filter_remove_slack_too_short"":5,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,8,8,take_order,,100,10,100,47,45,53,50,0.22,625.35,5.1,640.35,77.97,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":50,""filter_remove_slack_too_short"":3,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,9,9,take_order,,100,10,100,29,28,62,57,0.36,803.59,5.71,818.59,68.56,,,,,,,,,,,"{""filter_load_window_unreachable"":48,""filter_not_online"":9,""filter_remove_slack_too_short"":14,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,10,10,take_order,,100,10,100,28,25,65,51,0.4,863.41,6.23,878.41,62.52,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":44,""filter_not_online"":7,""filter_remove_slack_too_short"":21}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,11,11,take_order,,100,10,100,61,61,39,37,0.16,1420.55,7.07,1435.55,88.41,,,,,,,,,,,"{""filter_load_window_unreachable"":37,""filter_remove_slack_too_short"":2}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,12,12,take_order,,100,10,100,30,30,50,52,0.33,732.72,7.73,747.72,78.19,,,,,,,,,,,"{""filter_load_window_unreachable"":32,""filter_not_online"":20,""filter_remove_slack_too_short"":18}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,13,13,take_order,,100,10,100,37,37,54,44,0.27,1015.29,8.36,1030.29,76.18,,,,,,,,,,,"{""filter_load_window_unreachable"":35,""filter_not_online"":9,""filter_remove_slack_too_short"":19}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,14,14,take_order,,100,10,100,47,45,53,50,0.22,804.21,9.36,819.21,68.14,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":50,""filter_remove_slack_too_short"":3}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,15,15,take_order,,100,10,100,44,34,49,33,0.29,1391.49,10.26,1406.49,95.09,,,,,,,,,,,"{""below_direct_net_threshold"":5,""filter_load_window_unreachable"":26,""filter_not_online"":7,""filter_remove_slack_too_short"":23,""severe_negative_net"":5}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,16,16,take_order,,100,10,100,49,42,50,50,0.24,1094.78,10.79,1109.78,64.33,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":49,""filter_not_online"":1,""filter_remove_slack_too_short"":1,""severe_negative_net"":5}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,17,17,take_order,,100,10,100,38,33,56,39,0.3,1081.94,11.65,1096.94,75.74,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":33,""filter_not_online"":6,""filter_remove_slack_too_short"":23,""severe_negative_net"":3}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,18,18,take_order,,100,10,100,48,42,46,28,0.24,1159.71,12.01,1174.71,81.98,,,,,,,,,,,"{""below_direct_net_threshold"":6,""filter_load_window_unreachable"":22,""filter_not_online"":6,""filter_remove_slack_too_short"":24}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,19,19,take_order,,100,10,100,45,44,55,55,0.23,927.83,13.05,942.83,53.73,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":55}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,20,20,take_order,,100,10,100,27,25,66,48,0.4,828.87,13.95,843.87,72.63,,,,,,,,,,,"{""filter_load_window_unreachable"":41,""filter_not_online"":7,""filter_remove_slack_too_short"":25,""severe_negative_net"":2}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,21,21,take_order,,100,10,100,70,60,30,30,0.17,1320.72,14.94,1335.72,68.58,,,,,,,,,,,"{""below_direct_net_threshold"":6,""filter_load_window_unreachable"":30,""severe_negative_net"":4}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,22,22,take_order,,100,10,100,57,51,37,27,0.2,2379.11,15.8,2394.11,92.75,,,,,,,,,,,"{""filter_load_window_unreachable"":21,""filter_not_online"":6,""filter_remove_slack_too_short"":16,""severe_negative_net"":6}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,23,23,take_order,,100,10,100,68,61,32,31,0.16,2406.74,16.79,2421.74,66.33,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":31,""filter_remove_slack_too_short"":1,""severe_negative_net"":4}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,24,24,take_order,,100,10,100,53,48,41,30,0.21,1951.39,17.84,1966.39,82.92,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":24,""filter_not_online"":6,""filter_remove_slack_too_short"":17,""severe_negative_net"":3}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,25,25,take_order,,100,10,100,42,41,58,57,0.24,926.12,18.84,941.12,65.36,,,,,,,,,,,"{""filter_load_window_unreachable"":57,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,26,26,take_order,,100,10,100,44,36,46,37,0.28,1004.75,19.78,1019.75,108.78,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":27,""filter_not_online"":10,""filter_remove_slack_too_short"":19,""severe_negative_net"":5}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,27,27,take_order,,100,10,100,38,31,60,51,0.32,836.95,20.22,851.95,33.39,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":49,""filter_not_online"":2,""filter_remove_slack_too_short"":11,""severe_negative_net"":4}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,28,28,take_order,,100,10,100,21,20,79,70,0.5,1263.66,20.98,1278.66,102.25,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":70,""filter_remove_slack_too_short"":9}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,29,29,take_order,,100,10,100,50,47,44,38,0.21,1478.78,21.92,1493.78,71.28,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":32,""filter_not_online"":6,""filter_remove_slack_too_short"":12,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,30,30,take_order,,100,10,100,43,40,57,57,0.25,1195.56,22.71,1210.56,62.98,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":57}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,31,31,take_order,,100,10,100,30,28,62,45,0.36,479.37,23.63,494.37,47.66,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":37,""filter_not_online"":8,""filter_remove_slack_too_short"":25}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,32,32,take_order,,100,10,100,31,29,67,67,0.34,488.09,24.21,503.09,30.56,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":65,""filter_not_online"":2,""filter_remove_slack_too_short"":2}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,33,33,take_order,,100,10,100,39,37,57,49,0.27,1404.33,24.93,1419.33,76.49,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":45,""filter_not_online"":4,""filter_remove_slack_too_short"":12,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,34,34,take_order,,100,10,100,30,27,62,50,0.37,1003.39,25.55,1018.39,90.52,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":42,""filter_not_online"":8,""filter_remove_slack_too_short"":20,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,35,35,take_order,,100,10,100,53,41,47,47,0.24,1183.28,26.47,1198.28,63.91,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":47,""severe_negative_net"":11}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,36,36,take_order,,100,10,100,38,36,51,44,0.28,797.66,27.51,812.66,62.27,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":33,""filter_not_online"":11,""filter_remove_slack_too_short"":18}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,37,37,take_order,,100,10,100,44,38,56,55,0.26,533.47,28.58,548.47,49.66,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":55,""filter_remove_slack_too_short"":1,""severe_negative_net"":3}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,38,38,take_order,,100,10,100,50,34,45,31,0.29,1158.82,29.47,1173.82,88.15,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":26,""filter_not_online"":5,""filter_remove_slack_too_short"":19,""severe_negative_net"":13}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,39,39,take_order,,100,10,100,45,45,55,52,0.22,604.93,30.56,619.93,60.6,,,,,,,,,,,"{""filter_load_window_unreachable"":52,""filter_remove_slack_too_short"":3}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,40,40,take_order,,100,10,100,33,29,56,46,0.34,1030.35,31.5,1045.35,57.86,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":35,""filter_not_online"":11,""filter_remove_slack_too_short"":21,""severe_negative_net"":2}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,41,41,take_order,,100,10,100,51,47,49,49,0.21,1420.29,32.44,1435.29,71.59,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":49,""severe_negative_net"":2}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,42,42,take_order,,100,10,100,20,15,67,60,0.67,502.27,33.37,517.27,59.72,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":47,""filter_not_online"":13,""filter_remove_slack_too_short"":20,""severe_negative_net"":3}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,43,43,take_order,,100,10,100,36,32,63,64,0.31,736.55,34.14,751.55,53.66,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":63,""filter_not_online"":1,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,44,44,take_order,,100,10,100,29,29,65,50,0.34,1011.61,34.74,1026.61,69.04,,,,,,,,,,,"{""filter_load_window_unreachable"":44,""filter_not_online"":6,""filter_remove_slack_too_short"":21}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,45,45,take_order,,100,10,100,41,40,52,43,0.25,636.32,35.35,651.32,79.1,,,,,,,,,,,"{""filter_load_window_unreachable"":36,""filter_not_online"":7,""filter_remove_slack_too_short"":16,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,46,46,take_order,,100,10,100,41,40,59,56,0.25,641.28,35.91,656.28,43.22,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":56,""filter_remove_slack_too_short"":3}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,47,47,take_order,,100,10,100,27,26,58,57,0.38,747.54,36.86,762.54,72.49,,,,,,,,,,,"{""filter_load_window_unreachable"":42,""filter_not_online"":15,""filter_remove_slack_too_short"":16,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,48,48,take_order,,100,10,100,31,23,68,64,0.43,957.77,37.81,972.77,59.0,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":63,""filter_not_online"":1,""filter_remove_slack_too_short"":5,""severe_negative_net"":6}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,49,49,take_order,,100,10,100,27,26,71,57,0.38,508.68,38.51,523.68,45.84,,,,,,,,,,,"{""filter_load_window_unreachable"":55,""filter_not_online"":2,""filter_remove_slack_too_short"":16,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,50,50,take_order,,100,10,100,31,29,62,50,0.34,725.63,39.24,740.63,75.06,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":43,""filter_not_online"":7,""filter_remove_slack_too_short"":19}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,51,51,take_order,,100,10,100,47,45,53,52,0.22,1072.95,40.05,1087.95,80.18,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":52,""filter_remove_slack_too_short"":1,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,52,52,take_order,,100,10,100,35,32,57,49,0.31,1031.39,40.89,1046.39,70.29,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":41,""filter_not_online"":8,""filter_remove_slack_too_short"":16,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,53,53,take_order,,100,10,100,37,33,58,53,0.3,1032.29,41.53,1047.29,43.14,,,,,,,,,,,"{""below_direct_net_threshold"":3,""filter_load_window_unreachable"":48,""filter_not_online"":5,""filter_remove_slack_too_short"":10,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,54,54,take_order,,100,10,100,17,15,75,61,0.67,885.56,42.5,900.56,74.02,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":53,""filter_not_online"":8,""filter_remove_slack_too_short"":22}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,55,55,take_order,,100,10,100,41,34,59,46,0.29,1146.27,43.5,1161.27,52.11,,,,,,,,,,,"{""below_direct_net_threshold"":2,""filter_load_window_unreachable"":46,""filter_remove_slack_too_short"":13,""severe_negative_net"":5}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,56,56,take_order,,100,10,100,22,20,69,55,0.5,839.77,44.45,854.77,71.53,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":46,""filter_not_online"":9,""filter_remove_slack_too_short"":23,""severe_negative_net"":1}",[],8
query,runs/next_build/20260509/money_greedy_no_pref,20260509_reference,d1b26936cffa,3668549cdb61,57,57,take_order,,100,10,100,46,38,53,50,0.26,697.09,45.43,712.09,45.99,,,,,,,,,,,"{""below_direct_net_threshold"":1,""filter_load_window_unreachable"":49,""filter_not_online"":1,""filter_remove_slack_too_short"":4,""severe_negative_net"":7}",[],8
